,item_id,name,time,sell,buy,lowest_sell,highest_buy,height
1634,42001000000,Lustering Alloy,2021-07-21T14:00:00+00:00,51.7,11.4,43.0,50.0,0.01
1635,42001000001,Sheen Compound,2021-07-21T14:00:00+00:00,132.0,58.4,110.0,100.0,0.01
1636,42001000002,Gleaming Alloy,2021-07-21T14:00:00+00:00,149.0,70.5,125.0,130.0,0.01
1637,42001000003,Condensed Alloy,2021-07-21T14:00:00+00:00,120.0,43.0,100.0,72.0,0.01
1638,42001000004,Precious Alloy,2021-07-21T14:00:00+00:00,185.0,114.0,160.0,165.0,0.01
1639,42001000005,Motley Compound,2021-07-21T14:00:00+00:00,120.0,44.0,80.0,166.93,0.01
1640,42001000006,Fiber Composite,2021-07-21T14:00:00+00:00,92.9,21.9,72.0,51.0,0.01
1641,42001000007,Lucent Compound,2021-07-21T14:00:00+00:00,146.0,50.3,120.0,120.0,0.01
1642,42001000008,Opulent Compound,2021-07-21T14:00:00+00:00,93.0,45.5,70.0,100.0,0.01
1643,42001000009,Glossy Compound,2021-07-21T14:00:00+00:00,89.9,24.0,75.0,44.0,0.01
1644,42001000010,Crystal Compound,2021-07-21T14:00:00+00:00,183.0,76.5,155.0,147.0,0.01
1645,42001000011,Dark Compound,2021-07-21T14:00:00+00:00,172.0,102.0,140.0,120.0,0.01
1646,42001000018,Reactive Gas,2021-07-21T14:00:00+00:00,101.0,43.1,97.0,91.0,0.01
1647,42001000019,Noble Gas,2021-07-21T14:00:00+00:00,158.0,62.8,115.0,99.0,0.01
1648,42001000020,Base Metals,2021-07-21T14:00:00+00:00,141.0,59.5,100.0,99.0,0.04
1649,42001000021,Heavy Metals,2021-07-21T14:00:00+00:00,159.0,77.3,140.0,155.94,0.01
1650,42001000022,Noble Metals,2021-07-21T14:00:00+00:00,120.0,68.4,85.0,95.0,0.01
1651,42001000023,Reactive Metals,2021-07-21T14:00:00+00:00,440.0,231.0,308.0,301.0,0.04
1652,42001000024,Toxic Metals,2021-07-21T14:00:00+00:00,398.0,222.0,295.0,254.0,0.04
1653,42001000025,Industrial Fibers,2021-07-21T14:00:00+00:00,476.0,141.0,317.0,300.0,0.04
1654,42001000026,Supertensile Plastics,2021-07-21T14:00:00+00:00,218.0,108.0,174.0,200.0,0.02
1655,42001000027,Polyaramids,2021-07-21T14:00:00+00:00,274.0,102.0,220.0,220.0,0.02
1656,42001000028,Coolant,2021-07-21T14:00:00+00:00,243.0,116.0,190.0,196.0,0.02
1657,42001000029,Condensates,2021-07-21T14:00:00+00:00,280.0,112.0,155.0,150.0,0.02
1658,42001000030,Construction Blocks,2021-07-21T14:00:00+00:00,176.0,70.7,147.0,130.0,0.01
1659,42001000031,Nanites,2021-07-21T14:00:00+00:00,614.0,403.0,440.0,457.0,0.04
1660,42001000032,Silicate Glass,2021-07-21T14:00:00+00:00,476.0,321.0,368.0,380.0,0.02
1661,42001000033,Smartfab Units,2021-07-21T14:00:00+00:00,270.0,75.9,171.0,157.0,0.02
1662,42002000012,Heavy Water,2021-07-21T14:00:00+00:00,10.8,6.66,4.0,8.0,0.0
1663,42002000013,Suspended Plasma,2021-07-21T14:00:00+00:00,39.9,14.6,19.0,19.0,0.0
1664,42002000014,Liquid Ozone,2021-07-21T14:00:00+00:00,82.5,3.66,60.0,43.0,0.0
1665,42002000015,Ionic Solutions,2021-07-21T14:00:00+00:00,306.0,114.0,180.0,150.0,0.0
1666,42002000016,Oxygen Isotopes,2021-07-21T14:00:00+00:00,643.0,425.0,480.0,433.0,0.0
1667,42002000017,Plasmoids,2021-07-21T14:00:00+00:00,2140.0,669.0,1550.0,1511.0,0.06
